driverCode,Year,Age,Experience,Total_Points
AIT,2020,25.0,0.0,0.0
ALB,2019,23.0,0.0,92.0
ALB,2020,24.0,1.0,105.0
ALB,2022,26.0,3.0,4.0
ALO,2012,31.0,11.0,278.0
ALO,2013,32.0,12.0,242.0
ALO,2014,33.0,13.0,161.0
ALO,2015,34.0,14.0,11.0
ALO,2016,35.0,15.0,54.0
ALO,2017,36.0,16.0,17.0
ALO,2018,37.0,17.0,50.0
ALO,2021,40.0,20.0,81.0
ALO,2022,41.0,21.0,81.0
BIA,2013,24.0,0.0,0.0
BIA,2014,25.0,1.0,2.0
BOT,2013,24.0,0.0,6.0
BOT,2014,25.0,1.0,188.0
BOT,2015,26.0,2.0,138.0
BOT,2016,27.0,3.0,87.0
BOT,2017,28.0,4.0,307.0
BOT,2018,29.0,5.0,249.0
BOT,2019,30.0,6.0,328.0
BOT,2020,31.0,7.0,225.0
BOT,2021,32.0,8.0,221.0
BOT,2022,33.0,9.0,49.0
BUT,2012,32.0,12.0,180.0
BUT,2013,33.0,13.0,64.0
BUT,2014,34.0,14.0,125.0
BUT,2015,35.0,15.0,16.0
BUT,2016,36.0,16.0,20.0
BUT,2017,37.0,17.0,0.0
CHI,2013,22.0,0.0,0.0
CHI,2014,23.0,1.0,0.0
DAM,2012,27.0,1.0,0.0
DEV,2022,27.0,0.0,2.0
DIR,2012,26.0,1.0,38.0
DIR,2013,27.0,2.0,36.0
DIR,2017,,,0.0
DLR,2012,41.0,11.0,0.0
ERI,2014,24.0,0.0,0.0
ERI,2015,25.0,1.0,8.0
ERI,2016,26.0,2.0,0.0
ERI,2017,27.0,3.0,0.0
ERI,2018,28.0,4.0,7.0
FIT,2020,24.0,0.0,0.0
GAS,2017,21.0,0.0,0.0
GAS,2018,22.0,1.0,29.0
GAS,2019,23.0,2.0,95.0
GAS,2020,24.0,3.0,75.0
GAS,2021,25.0,4.0,110.0
GAS,2022,26.0,5.0,23.0
GIO,2017,24.0,0.0,0.0
GIO,2019,26.0,2.0,14.0
GIO,2020,27.0,3.0,3.0
GIO,2021,28.0,4.0,1.0
GLO,2012,30.0,8.0,0.0
GRO,2012,26.0,3.0,66.0
GRO,2013,27.0,4.0,113.0
GRO,2014,28.0,5.0,8.0
GRO,2015,29.0,6.0,30.0
GRO,2016,30.0,7.0,25.0
GRO,2017,31.0,8.0,28.0
GRO,2018,32.0,9.0,27.0
GRO,2019,33.0,10.0,2.0
GRO,2020,34.0,11.0,0.0
GUT,2013,22.0,0.0,6.0
GUT,2014,23.0,1.0,0.0
GUT,2016,25.0,3.0,0.0
HAM,2012,27.0,5.0,191.0
HAM,2013,28.0,6.0,190.0
HAM,2014,29.0,7.0,385.0
HAM,2015,30.0,8.0,382.0
HAM,2016,31.0,9.0,387.0
HAM,2017,32.0,10.0,364.0
HAM,2018,33.0,11.0,415.0
HAM,2019,34.0,12.0,420.0
HAM,2020,35.0,13.0,348.0
HAM,2021,36.0,14.0,392.5
HAM,2022,37.0,15.0,240.0
HAR,2016,23.0,0.0,0.0
HAR,2017,28.0,0.0,0.0
HAR,2018,29.0,1.0,2.0
HUL,2012,25.0,2.0,63.0
HUL,2013,26.0,3.0,51.0
HUL,2014,27.0,4.0,88.0
HUL,2015,28.0,5.0,58.0
HUL,2016,29.0,6.0,65.0
HUL,2017,30.0,7.0,39.0
HUL,2018,31.0,8.0,59.0
HUL,2019,32.0,9.0,37.0
HUL,2020,33.0,10.0,6.0
HUL,2022,35.0,12.0,0.0
KAR,2012,35.0,7.0,0.0
KOB,2012,26.0,2.0,60.0
KOB,2014,28.0,4.0,0.0
KOV,2012,31.0,5.0,0.0
KOV,2013,32.0,6.0,0.0
KUB,2019,35.0,13.0,0.0
KUB,2021,37.0,15.0,0.0
KVY,2014,20.0,0.0,7.0
KVY,2015,21.0,1.0,81.0
KVY,2016,22.0,2.0,25.0
KVY,2017,23.0,3.0,5.0
KVY,2019,25.0,5.0,20.0
KVY,2020,26.0,6.0,32.0
LAT,2020,25.0,0.0,0.0
LAT,2021,26.0,1.0,7.0
LAT,2022,27.0,2.0,2.0
LEC,2018,21.0,0.0,56.0
LEC,2019,22.0,1.0,281.0
LEC,2020,23.0,2.0,112.0
LEC,2021,24.0,3.0,176.0
LEC,2022,25.0,4.0,308.0
LOT,2014,33.0,0.0,0.0
MAG,2014,22.0,0.0,58.0
MAG,2015,23.0,1.0,0.0
MAG,2016,24.0,2.0,11.0
MAG,2017,25.0,3.0,22.0
MAG,2018,26.0,4.0,60.0
MAG,2019,27.0,5.0,24.0
MAG,2020,28.0,6.0,4.0
MAG,2022,30.0,8.0,25.0
MAL,2012,27.0,1.0,45.0
MAL,2013,28.0,2.0,1.0
MAL,2014,29.0,3.0,2.0
MAL,2015,30.0,4.0,27.0
MAS,2012,31.0,10.0,118.0
MAS,2013,32.0,11.0,106.0
MAS,2014,33.0,12.0,124.0
MAS,2015,34.0,13.0,112.0
MAS,2016,35.0,14.0,41.0
MAS,2017,36.0,15.0,41.0
MAZ,2021,22.0,0.0,0.0
MER,2015,24.0,0.0,0.0
MSC,2012,43.0,21.0,49.0
MSC,2021,22.0,0.0,0.0
MSC,2022,23.0,1.0,12.0
NAS,2015,23.0,0.0,27.0
NAS,2016,24.0,1.0,2.0
NOR,2019,20.0,0.0,55.0
NOR,2020,21.0,1.0,101.0
NOR,2021,22.0,2.0,166.0
NOR,2022,23.0,3.0,122.0
OCO,2016,20.0,0.0,0.0
OCO,2017,21.0,1.0,90.0
OCO,2018,22.0,2.0,52.0
OCO,2020,24.0,4.0,65.0
OCO,2021,25.0,5.0,77.0
OCO,2022,26.0,6.0,92.0
PAL,2016,25.0,0.0,1.0
PAL,2017,26.0,1.0,8.0
PER,2012,22.0,1.0,76.0
PER,2013,23.0,2.0,59.0
PER,2014,24.0,3.0,69.0
PER,2015,25.0,4.0,88.0
PER,2016,26.0,5.0,115.0
PER,2017,27.0,6.0,110.0
PER,2018,28.0,7.0,76.0
PER,2019,29.0,8.0,66.0
PER,2020,30.0,9.0,129.0
PER,2021,31.0,10.0,204.0
PER,2022,32.0,11.0,305.0
PET,2012,28.0,2.0,0.0
PIC,2012,22.0,1.0,0.0
PIC,2013,23.0,2.0,0.0
RAI,2012,33.0,11.0,171.0
RAI,2013,34.0,12.0,165.0
RAI,2014,35.0,13.0,43.0
RAI,2015,36.0,14.0,126.0
RAI,2016,37.0,15.0,155.0
RAI,2017,38.0,16.0,172.0
RAI,2018,39.0,17.0,218.0
RAI,2019,40.0,18.0,42.0
RAI,2020,41.0,19.0,4.0
RAI,2021,42.0,20.0,9.0
RIC,2012,23.0,1.0,13.0
RIC,2013,24.0,2.0,23.0
RIC,2014,25.0,3.0,241.0
RIC,2015,26.0,4.0,95.0
RIC,2016,27.0,5.0,259.0
RIC,2017,28.0,6.0,203.0
RIC,2018,29.0,7.0,173.0
RIC,2019,30.0,8.0,57.0
RIC,2020,31.0,9.0,122.0
RIC,2021,32.0,10.0,117.0
RIC,2022,33.0,11.0,37.0
ROS,2012,27.0,6.0,82.0
ROS,2013,28.0,7.0,157.0
ROS,2014,29.0,8.0,287.0
ROS,2015,30.0,9.0,289.0
ROS,2016,31.0,10.0,324.0
RSS,2015,24.0,-1.0,0.0
RUS,2019,21.0,0.0,13.0
RUS,2020,22.0,1.0,8.0
RUS,2021,23.0,2.0,29.0
RUS,2022,24.0,3.0,275.0
SAI,2015,21.0,0.0,29.0
SAI,2016,22.0,1.0,64.0
SAI,2017,23.0,2.0,65.0
SAI,2018,24.0,3.0,71.0
SAI,2019,25.0,4.0,114.0
SAI,2020,26.0,5.0,116.0
SAI,2021,27.0,6.0,181.5
SAI,2022,28.0,7.0,246.0
SEN,2012,29.0,2.0,25.0
SIR,2018,23.0,0.0,1.0
STE,2014,23.0,0.0,0.0
