round,Country,driverCode,points,year,AirTemp,Humidity,Pressure,TrackTemp,WindSpeed,Rainfall
1,Australian,VET,25,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,HAM,18,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,RAI,15,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,RIC,12,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,ALO,10,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,VER,8,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,HUL,6,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,BOT,4,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,VAN,2,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,SAI,1,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,PER,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,OCO,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,LEC,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,STR,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,HAR,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,GRO,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,MAG,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,GAS,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,ERI,0,2018,24.1,31,997.0,36.3,3.69,False
1,Australian,SIR,0,2018,24.1,31,997.0,36.3,3.69,False
2,Bahrain,VET,25,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,BOT,18,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,HAM,15,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,GAS,12,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,MAG,10,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,HUL,8,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,ALO,6,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,VAN,4,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,ERI,2,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,OCO,1,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,SAI,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,LEC,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,GRO,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,STR,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,SIR,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,PER,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,HAR,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,RAI,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,VER,0,2018,28.0,47,1009.49,32.2,0.96,False
2,Bahrain,RIC,0,2018,28.0,47,1009.49,32.2,0.96,False
3,Chinese,RIC,25,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,BOT,18,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,RAI,15,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,HAM,12,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,VER,10,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,HUL,8,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,ALO,6,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,VET,4,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,SAI,2,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,MAG,1,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,OCO,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,PER,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,VAN,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,STR,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,SIR,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,ERI,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,GRO,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,GAS,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,LEC,0,2018,19.4,24,1018.13,37.0,1.84,False
3,Chinese,HAR,0,2018,19.4,24,1018.13,37.0,1.84,False
4,Azerbaijan,HAM,25,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,VET,12,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,SAI,15,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,LEC,15,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,ALO,6,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,STR,4,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,GAS,0,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,MAG,1,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,BOT,2,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,VER,8,2018,16.7,46,1021.91,25.3,2.22,False
4,Azerbaijan,OCO,0,2018,16.7,46,1021.91,25.3,2.22,False
5,Spanish,HAM,25,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,BOT,18,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,VER,15,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,VET,12,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,RIC,10,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,MAG,8,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,SAI,6,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,ALO,4,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,PER,2,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,LEC,1,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,STR,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,HAR,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,ERI,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,SIR,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,VAN,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,OCO,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,RAI,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,GRO,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,GAS,0,2018,16.1,52,1001.54,32.3,1.95,False
5,Spanish,HUL,0,2018,16.1,52,1001.54,32.3,1.95,False
6,Monaco,RIC,25,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,VET,18,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,HAM,15,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,RAI,12,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,BOT,10,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,OCO,8,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,GAS,6,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,HUL,4,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,VER,2,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,SAI,1,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,ERI,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,PER,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,MAG,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,VAN,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,GRO,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,SIR,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,STR,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,LEC,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,HAR,0,2018,26.6,51,1015.21,34.6,1.38,False
6,Monaco,ALO,0,2018,26.6,51,1015.21,34.6,1.38,False
7,Canadian,VET,25,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,BOT,18,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,VER,15,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,RIC,12,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,HAM,10,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,RAI,8,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,HUL,6,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,SAI,4,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,OCO,2,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,LEC,1,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,GAS,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,GRO,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,MAG,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,PER,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,ERI,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,VAN,0,2018,20.5,28,1017.52,36.9,2.47,False
7,Canadian,SIR,0,2018,20.5,28,1017.52,36.9,2.47,False
