,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,753.71,1077.22,1168.89,155.86,,1171.42,403.6,400.03,639.69,774.9,471.7,834.93,241.83,829.13,3164.92,,787.55,828.25,
1,369.77,1076.37,1061.66,466.64,,2007.27,1310.29,1570.07,195.25,2377.71,1511.44,1454.78,1251.33,425.49,3097.83,,2054.34,632.14,
2,2086.6,2803.03,692.6,1435.9,,1847.88,1163.6,1306.93,2797.37,2233.48,1271.17,1326.77,1122.41,1882.8,1333.06,,1749.67,466.41,
3,1779.5,2727.92,315.54,1296.52,,1664.11,936.47,970.69,1875.53,1329.37,862.22,891.44,998.85,1746.28,1226.2,,1627.98,314.54,
4,1542.7,2582.66,1179.28,1045.02,,1377.09,834.48,794.86,1626.03,1109.07,372.08,105.4,955.45,1367.87,1035.44,,1405.63,1031.55,
5,1105.55,2467.77,20.14,518.88,,1018.62,649.56,467.38,1296.73,343.29,961.62,1173.54,786.79,1151.62,1189.14,,1219.92,796.2,
6,493.58,651.34,569.08,1033.63,,648.36,957.58,1124.14,829.24,1196.24,454.35,862.63,820.77,711.06,1008.47,,1375.19,819.36,
7,1334.97,564.53,899.88,768.79,,1266.52,730.93,862.63,382.16,1105.56,609.2,1310.34,806.1,429.4,1490.26,,1331.33,721.74,
8,1293.26,1370.17,666.41,449.26,,1388.81,590.83,330.48,67.38,943.25,697.1,1063.89,685.87,1013.61,1265.5,,1081.78,685.03,
9,277.67,1022.07,336.06,534.78,,947.24,263.24,2048.34,1177.14,645.49,617.99,978.08,479.52,861.63,799.92,,1576.54,478.12,
10,1456.45,428.12,736.3,803.01,,1170.49,645.84,512.66,996.99,922.02,1072.9,765.98,622.33,789.65,1026.31,,1318.54,635.81,
11,540.71,1428.03,2806.53,558.71,,1031.94,525.36,1247.59,109.21,787.34,698.97,349.65,1646.57,468.29,1736.99,,1093.44,309.75,
12,541.09,1313.16,2082.94,657.1,,1622.7,414.71,894.16,473.69,583.3,87.0,537.73,1401.36,1351.99,1600.04,,1449.8,1135.64,
13,620.89,268.72,1987.1,474.09,,1115.73,399.25,410.19,924.78,810.05,847.6,1773.13,1333.6,1209.57,1675.81,,1343.48,1017.96,
14,408.79,1115.73,1740.04,323.24,,867.15,345.06,743.43,579.71,362.65,655.68,1507.48,1268.94,962.91,1798.47,,1116.17,905.32,
15,790.74,894.16,1616.23,1228.68,,767.72,1773.14,506.85,1399.97,695.58,365.46,1032.14,1207.38,854.73,2141.45,,777.2,507.23,
16,676.3,528.96,1215.5,1348.44,,2159.19,1875.22,857.71,1158.16,964.36,1398.26,917.08,880.17,1070.95,2613.88,,1213.82,1849.78,
17,2914.56,744.1,791.46,1556.39,,2406.41,2140.78,2928.03,752.61,826.81,1508.71,1452.86,774.19,728.43,1768.3,,1082.9,1733.97,
18,2905.23,1682.72,599.45,1727.96,,1800.87,1298.95,2902.35,141.37,1432.76,1809.54,1342.65,586.06,1958.31,800.62,,961.22,751.31,
19,2897.34,1556.63,434.87,2104.74,,1641.4,1107.81,1103.19,494.95,1306.45,2028.78,1056.08,367.1,1698.51,1031.73,,2290.2,653.95,
20,2900.22,604.22,240.25,1850.67,,1438.82,17.64,835.4,1256.24,1081.33,2240.98,556.59,1172.81,770.68,913.46,,2402.92,565.27,
21,771.28,1782.66,404.56,1261.89,,988.27,103.56,2233.9,1126.2,885.03,2125.72,824.54,1028.19,649.47,711.37,,2507.38,355.02,
22,638.47,2011.69,896.53,1059.53,,761.36,412.94,2567.86,629.15,579.47,1379.1,606.93,762.79,2055.67,1121.23,,1318.41,1400.53,
23,265.09,2191.47,633.04,941.43,,572.72,670.92,2580.43,2139.85,887.46,262.95,253.87,529.97,2175.94,856.14,,1145.84,1125.74,
24,3.56,2556.15,524.98,681.86,,324.53,1927.19,1435.75,2332.63,766.34,1249.09,73.53,150.35,2288.65,621.72,,691.37,1003.14,
25,1452.52,811.64,626.45,350.0,,1138.09,1036.06,1243.64,1867.01,495.16,979.97,785.53,1054.77,1033.95,1085.87,,986.05,776.21,
26,1555.44,314.64,480.86,388.41,,1005.11,939.55,753.52,1551.37,669.08,860.22,662.69,866.58,853.87,960.58,,865.29,501.7,
27,1780.13,952.87,265.34,1021.93,,653.43,838.73,653.71,1026.91,554.49,601.41,548.3,705.65,547.62,770.6,,752.56,1069.95,
28,2073.08,832.74,619.8,894.56,,1085.99,725.07,408.85,625.38,449.3,362.04,166.3,651.48,848.84,975.16,,475.96,876.53,
29,2294.36,643.55,605.93,466.35,,871.56,476.95,489.94,812.23,1038.07,1214.61,1114.14,17.85,627.12,836.66,,242.49,711.84,
30,876.68,554.33,487.71,1006.33,,279.85,419.5,1000.01,719.44,933.0,943.54,1012.54,852.13,454.68,568.36,,1507.32,317.57,
31,746.36,269.34,23.77,823.38,,283.69,1370.04,771.97,540.29,734.78,698.68,667.08,722.38,259.6,225.54,,1351.39,670.25,
32,641.61,412.54,792.6,495.61,,720.4,1075.37,560.47,1127.7,456.11,492.58,836.1,397.1,405.38,679.17,,1208.54,495.79,
33,308.36,101.22,685.37,782.87,,909.68,817.62,821.43,999.03,556.91,1278.27,639.74,557.37,1197.93,967.42,,823.01,776.94,
34,976.78,1098.3,585.48,562.3,,783.63,505.74,641.62,566.6,743.74,1182.4,289.46,760.5,1061.66,838.77,,693.6,529.19,
35,845.65,968.55,493.94,714.85,,466.34,319.49,503.45,1057.27,484.26,889.52,14.62,650.37,934.17,719.4,,1038.97,416.12,
36,501.65,842.54,405.61,366.76,,736.3,931.97,440.68,747.9,1919.06,701.13,14.75,455.15,700.78,610.43,,842.91,297.55,
37,1041.06,618.64,147.03,780.69,,1158.87,752.55,131.83,96.49,2061.38,317.21,437.83,294.8,223.16,423.41,,606.95,708.41,
38,932.94,426.18,810.68,467.03,,873.96,245.17,716.37,418.24,867.49,953.19,1342.73,771.41,1276.31,346.22,,848.28,427.45,
39,581.13,94.18,693.31,492.49,,747.46,596.18,350.51,735.66,572.46,670.01,1224.48,567.43,1041.06,817.6,,328.31,685.37,
40,559.19,862.64,587.24,1381.1,,520.78,344.4,632.25,776.09,806.73,543.01,509.79,415.04,931.94,716.02,,878.16,579.48,
41,270.69,609.83,438.95,1237.59,,422.42,955.33,510.31,641.4,596.15,157.27,171.72,859.26,519.07,534.85,,739.97,468.02,
42,835.29,449.26,919.7,986.59,,319.49,672.23,208.56,380.58,812.88,861.39,707.94,743.05,655.38,966.58,,612.02,216.34,
43,685.87,682.77,799.1,650.37,,168.78,431.44,690.57,675.62,1593.84,646.45,503.36,633.04,628.28,707.09,,574.27,106.47,
44,429.08,405.36,685.42,379.78,,840.63,85.49,905.09,575.67,1464.17,1202.25,289.75,1022.07,347.75,594.13,,998.68,1015.08,
45,649.28,1015.45,578.94,1256.18,,705.49,1107.53,790.57,1232.6,1211.44,1061.08,3.13,831.16,1073.78,488.54,,860.9,782.35,
46,250.55,779.17,1036.8,1131.37,,515.29,980.55,685.37,1091.38,1099.42,808.67,1074.2,597.7,921.62,1119.76,,733.45,501.38,
47,1244.64,558.71,852.72,698.66,,118.81,746.47,589.46,824.72,800.65,695.38,680.23,656.39,664.73,930.91,,616.4,221.25,
48,958.43,191.58,106.38,452.58,,1112.02,543.62,408.53,613.4,268.89,410.52,572.65,377.49,432.84,514.81,,507.83,1033.65,
49,716.39,601.1,638.97,483.59,,976.95,358.06,261.11,343.23,993.42,989.21,296.8,825.15,878.01,800.9,,425.41,792.74,
50,608.43,415.04,234.99,292.4,,735.85,967.23,891.57,2627.79,874.79,869.4,1020.99,578.85,661.37,672.23,,782.05,685.42,
51,331.41,1537.95,669.47,1309.1,,1012.54,850.42,685.52,387.05,641.84,760.4,918.74,467.74,5.06,402.24,,674.33,490.58,
52,862.75,1300.23,414.71,1166.53,,910.64,544.58,432.79,1679.36,470.5,487.39,529.85,567.94,1263.96,662.78,,488.65,955.49,
53,736.33,1094.37,419.84,907.04,,488.69,525.99,820.74,1403.67,896.85,442.04,698.0,787.58,1120.57,560.18,,178.18,782.88,
54,628.09,830.72,674.27,580.85,,600.27,1236.81,711.06,1160.46,770.13,1337.4,670.56,684.37,865.89,781.55,,1377.31,619.34,
55,383.31,457.09,687.74,198.05,,676.96,1092.22,497.61,655.63,653.64,1188.31,303.05,590.46,753.48,583.48,,1232.69,685.87,
56,534.9,557.46,975.56,148.62,,825.15,831.21,937.07,1141.67,546.3,927.92,576.39,354.08,478.01,411.44,,974.0,447.39,
57,893.57,470.5,850.87,790.49,,691.15,605.43,851.75,929.91,966.87,692.6,940.31,2778.82,958.0,274.97,,537.13,341.16,
58,761.67,326.12,738.45,818.03,,453.18,970.97,700.03,594.81,872.53,1163.7,701.38,793.34,834.95,934.77,,1047.41,742.02,
