round,Country,driverCode,points,year
1,Australian,VET,25.0,2018
1,Australian,HAM,18.0,2018
1,Australian,RAI,15.0,2018
1,Australian,RIC,12.0,2018
1,Australian,ALO,10.0,2018
1,Australian,VER,8.0,2018
1,Australian,HUL,6.0,2018
1,Australian,BOT,4.0,2018
1,Australian,VAN,2.0,2018
1,Australian,SAI,1.0,2018
1,Australian,PER,0.0,2018
1,Australian,OCO,0.0,2018
1,Australian,LEC,0.0,2018
1,Australian,STR,0.0,2018
1,Australian,HAR,0.0,2018
1,Australian,GRO,0.0,2018
1,Australian,MAG,0.0,2018
1,Australian,GAS,0.0,2018
1,Australian,ERI,0.0,2018
1,Australian,SIR,0.0,2018
2,Bahrain,VET,25.0,2018
2,Bahrain,BOT,18.0,2018
2,Bahrain,HAM,15.0,2018
2,Bahrain,GAS,12.0,2018
2,Bahrain,MAG,10.0,2018
2,Bahrain,HUL,8.0,2018
2,Bahrain,ALO,6.0,2018
2,Bahrain,VAN,4.0,2018
2,Bahrain,ERI,2.0,2018
2,Bahrain,OCO,1.0,2018
2,Bahrain,SAI,0.0,2018
2,Bahrain,LEC,0.0,2018
2,Bahrain,GRO,0.0,2018
2,Bahrain,STR,0.0,2018
2,Bahrain,SIR,0.0,2018
2,Bahrain,PER,0.0,2018
2,Bahrain,HAR,0.0,2018
2,Bahrain,RAI,0.0,2018
2,Bahrain,VER,0.0,2018
2,Bahrain,RIC,0.0,2018
3,Chinese,RIC,25.0,2018
3,Chinese,BOT,18.0,2018
3,Chinese,RAI,15.0,2018
3,Chinese,HAM,12.0,2018
3,Chinese,VER,10.0,2018
3,Chinese,HUL,8.0,2018
3,Chinese,ALO,6.0,2018
3,Chinese,VET,4.0,2018
3,Chinese,SAI,2.0,2018
3,Chinese,MAG,1.0,2018
3,Chinese,OCO,0.0,2018
3,Chinese,PER,0.0,2018
3,Chinese,VAN,0.0,2018
3,Chinese,STR,0.0,2018
3,Chinese,SIR,0.0,2018
3,Chinese,ERI,0.0,2018
3,Chinese,GRO,0.0,2018
3,Chinese,GAS,0.0,2018
3,Chinese,LEC,0.0,2018
3,Chinese,HAR,0.0,2018
4,Azerbaijan,HAM,25.0,2018
4,Azerbaijan,RAI,,2018
4,Azerbaijan,PER,21.0,2018
4,Azerbaijan,VET,12.0,2018
4,Azerbaijan,SAI,15.0,2018
4,Azerbaijan,LEC,15.0,2018
4,Azerbaijan,ALO,6.0,2018
4,Azerbaijan,STR,4.0,2018
4,Azerbaijan,VAN,,2018
4,Azerbaijan,HAR,,2018
4,Azerbaijan,ERI,,2018
4,Azerbaijan,GAS,0.0,2018
4,Azerbaijan,MAG,1.0,2018
4,Azerbaijan,BOT,2.0,2018
4,Azerbaijan,GRO,,2018
4,Azerbaijan,VER,8.0,2018
4,Azerbaijan,RIC,3.0,2018
4,Azerbaijan,HUL,,2018
4,Azerbaijan,OCO,0.0,2018
4,Azerbaijan,SIR,,2018
5,Spanish,HAM,25.0,2018
5,Spanish,BOT,18.0,2018
5,Spanish,VER,15.0,2018
5,Spanish,VET,12.0,2018
5,Spanish,RIC,10.0,2018
5,Spanish,MAG,8.0,2018
5,Spanish,SAI,6.0,2018
5,Spanish,ALO,4.0,2018
5,Spanish,PER,2.0,2018
5,Spanish,LEC,1.0,2018
5,Spanish,STR,0.0,2018
5,Spanish,HAR,0.0,2018
5,Spanish,ERI,0.0,2018
5,Spanish,SIR,0.0,2018
5,Spanish,VAN,0.0,2018
5,Spanish,OCO,0.0,2018
5,Spanish,RAI,0.0,2018
5,Spanish,GRO,0.0,2018
5,Spanish,GAS,0.0,2018
5,Spanish,HUL,0.0,2018
6,Monaco,RIC,25.0,2018
6,Monaco,VET,18.0,2018
6,Monaco,HAM,15.0,2018
6,Monaco,RAI,12.0,2018
6,Monaco,BOT,10.0,2018
6,Monaco,OCO,8.0,2018
6,Monaco,GAS,6.0,2018
6,Monaco,HUL,4.0,2018
6,Monaco,VER,2.0,2018
6,Monaco,SAI,1.0,2018
6,Monaco,ERI,0.0,2018
6,Monaco,PER,0.0,2018
6,Monaco,MAG,0.0,2018
6,Monaco,VAN,0.0,2018
6,Monaco,GRO,0.0,2018
6,Monaco,SIR,0.0,2018
6,Monaco,STR,0.0,2018
6,Monaco,LEC,0.0,2018
6,Monaco,HAR,0.0,2018
6,Monaco,ALO,0.0,2018
7,Canadian,VET,25.0,2018
7,Canadian,BOT,18.0,2018
7,Canadian,VER,15.0,2018
7,Canadian,RIC,12.0,2018
7,Canadian,HAM,10.0,2018
7,Canadian,RAI,8.0,2018
7,Canadian,HUL,6.0,2018
7,Canadian,SAI,4.0,2018
7,Canadian,OCO,2.0,2018
7,Canadian,LEC,1.0,2018
7,Canadian,GAS,0.0,2018
7,Canadian,GRO,0.0,2018
7,Canadian,MAG,0.0,2018
7,Canadian,PER,0.0,2018
7,Canadian,ERI,0.0,2018
7,Canadian,VAN,0.0,2018
7,Canadian,SIR,0.0,2018
7,Canadian,ALO,0.0,2018
7,Canadian,HAR,0.0,2018
7,Canadian,STR,0.0,2018
8,French,HAM,25.0,2018
8,French,VER,18.0,2018
8,French,RAI,15.0,2018
8,French,RIC,12.0,2018
8,French,VET,10.0,2018
8,French,MAG,8.0,2018
8,French,BOT,6.0,2018
8,French,SAI,4.0,2018
8,French,HUL,2.0,2018
8,French,LEC,1.0,2018
8,French,GRO,0.0,2018
8,French,VAN,0.0,2018
8,French,ERI,0.0,2018
8,French,HAR,0.0,2018
8,French,SIR,0.0,2018
8,French,ALO,0.0,2018
8,French,STR,0.0,2018
8,French,PER,0.0,2018
8,French,OCO,0.0,2018
8,French,GAS,0.0,2018
9,Austrian,VER,25.0,2018
9,Austrian,RAI,18.0,2018
