,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1003.84,486.29,492.1,682.47,488.64,577.75,426.45,606.03,783.1,677.18,,751.58,1007.81,,952.13,,,,
1,724.53,245.66,213.96,520.48,633.59,334.44,173.61,1348.58,586.62,510.81,,654.1,243.57,,572.49,,,,
2,279.31,2847.74,786.37,770.74,535.87,528.34,871.95,1106.8,503.95,360.57,,367.09,789.48,,294.21,,,,
3,1396.41,2723.32,671.38,658.49,399.94,460.44,774.33,925.98,201.2,1049.2,,131.92,707.46,,1255.6,,,,
4,998.72,656.26,566.01,555.39,269.26,395.51,679.44,609.57,644.24,915.69,,1094.74,637.19,,1015.25,,,,
5,785.01,447.65,308.91,402.99,443.06,335.33,392.47,568.5,547.0,793.95,,726.19,146.11,,907.23,,,,
6,330.93,375.33,495.51,663.61,261.67,235.18,207.15,402.82,475.16,530.89,,626.04,424.08,,715.03,,,,
7,417.64,185.01,195.44,505.43,586.65,556.87,475.03,684.44,490.17,419.34,,551.79,353.48,,545.63,,,,
8,463.75,468.75,777.16,820.99,429.31,400.68,267.85,528.86,224.24,200.7,,243.87,657.11,,251.81,,,,
9,390.82,274.98,501.73,620.11,211.83,451.07,659.28,744.25,781.45,646.72,,535.32,568.04,,649.17,,,,
10,459.61,542.37,348.72,534.98,545.91,372.1,475.72,560.84,693.14,430.35,,457.95,422.97,,182.24,,,,
11,380.29,153.38,96.67,331.79,463.76,301.49,334.55,410.02,390.16,856.15,,489.14,249.39,,572.34,,,,
12,254.17,492.84,438.69,389.65,343.35,236.18,610.47,221.16,179.46,532.41,,406.2,1181.7,,398.54,,,,
13,182.01,419.26,753.52,1080.84,181.08,70.24,456.31,533.61,606.26,367.87,,234.13,1142.1,,262.13,,,,
14,188.46,293.79,387.0,909.98,174.86,636.62,226.03,378.26,433.52,824.56,,99.19,1065.11,,1365.06,,,,
15,157.93,171.05,840.43,716.1,942.57,550.69,1031.89,72.93,251.41,624.94,,505.64,207.93,,1454.07,,,,
16,622.0,216.61,1062.88,744.9,1010.89,468.45,937.94,43.61,790.12,452.17,,422.86,95.71,,388.92,,,,
17,836.41,151.82,725.09,651.04,935.95,342.91,691.04,147.63,193.07,203.44,,347.38,225.79,,223.49,,,,
18,939.55,689.06,242.94,477.9,799.1,139.44,415.97,245.34,576.13,314.67,,453.54,980.91,,216.61,,,,
19,421.95,464.9,414.89,706.36,292.54,1003.69,1714.17,1033.73,1097.9,627.82,,379.51,877.0,,8.55,,,,
20,1694.17,203.37,319.9,244.68,276.54,906.97,725.59,1033.89,1007.9,1063.88,,236.73,778.15,,911.53,,,,
21,597.37,862.98,237.02,155.89,201.06,824.09,759.75,783.1,901.98,967.92,,573.33,706.1,,1029.74,,,,
22,472.8,503.4,353.28,415.3,346.01,749.14,388.9,1639.97,634.01,800.12,,1083.84,206.47,,977.92,,,,
23,283.52,778.78,270.85,324.31,201.2,571.91,298.86,1493.02,397.03,394.03,,1021.89,368.83,,714.1,,,,
24,203.26,551.1,409.64,3351.14,291.94,1658.6,219.08,1063.65,1472.91,202.38,,587.93,282.85,,249.91,,,,
25,330.78,437.47,313.31,3617.17,210.72,805.68,393.41,282.1,1558.86,1229.38,,159.94,376.58,,1049.99,,,,
26,251.92,278.62,230.09,3849.16,139.82,265.45,301.35,198.48,432.79,947.34,,631.24,291.36,,896.75,,,,
27,475.46,205.86,438.76,3021.45,296.51,175.02,226.25,118.49,110.93,583.15,,400.42,220.09,,779.65,,,,
28,374.76,510.0,329.51,969.26,224.22,98.7,750.26,178.34,728.42,1108.63,,311.48,359.85,,423.53,,,,
29,207.15,292.78,388.08,724.83,399.88,330.03,385.0,118.08,595.15,985.06,,230.15,269.26,,441.82,,,,
30,136.99,230.38,292.47,281.77,317.36,249.1,288.35,742.69,474.98,870.66,,317.84,334.72,,188.12,,,,
31,337.82,125.19,1164.4,408.09,348.27,124.31,206.41,356.01,373.07,645.33,,238.01,268.78,,371.45,,,,
32,258.61,3101.1,1323.2,512.51,275.6,496.02,385.9,262.71,287.01,386.0,,717.26,368.63,,291.39,,,,
33,494.1,893.82,1443.83,660.19,217.35,383.61,298.5,169.41,507.55,194.29,,380.58,277.49,,223.55,,,,
34,391.57,508.3,431.41,571.23,104.99,288.96,290.47,311.94,402.16,504.76,,289.75,149.4,,294.93,,,,
35,221.78,352.4,1018.71,364.91,1195.0,202.85,514.56,274.69,312.81,423.46,,434.46,331.36,,219.36,,,,
36,341.13,220.77,968.92,216.61,1002.69,65.98,318.58,188.72,170.28,222.14,,345.15,254.46,,486.82,,,,
37,264.79,477.19,681.08,1086.87,608.96,266.79,139.93,293.79,650.07,2359.44,,264.72,199.05,,302.68,,,,
38,168.47,333.73,289.48,917.97,332.3,195.17,961.28,239.85,507.45,2584.09,,489.85,120.47,,399.21,,,,
39,206.17,457.39,719.27,658.04,515.05,354.77,969.92,267.54,425.17,672.75,,391.57,183.92,,310.51,,,,
40,114.47,273.88,266.67,880.96,3244.65,267.71,393.03,198.03,328.72,479.07,,158.61,687.09,,75.23,,,,
41,558.92,201.61,191.49,707.8,3465.36,444.74,87.58,671.09,173.65,402.16,,406.78,637.99,,469.0,,,,
42,436.92,1356.61,1211.46,625.92,3659.96,270.18,605.2,422.95,348.12,253.35,,322.55,542.9,,228.59,,,,
43,330.3,986.8,2010.18,1391.5,3747.91,210.27,526.88,243.93,186.24,410.23,,251.97,470.89,,185.64,,,,
44,163.06,345.14,3938.86,1414.71,3469.45,168.47,3714.16,1174.72,355.41,266.72,,147.04,1186.68,,217.56,,,,
45,446.26,366.57,4163.41,3573.32,1717.99,246.97,3807.42,986.93,270.5,1502.98,,62.37,1241.93,,188.98,,,,
46,349.58,162.53,3439.37,3840.17,865.53,160.31,3984.07,704.65,191.46,1577.25,,185.87,3782.75,,595.94,,,,
47,1363.93,730.65,2565.99,3993.39,604.92,88.81,4418.97,955.49,363.98,1392.76,,799.1,3861.81,,482.89,,,,
48,1081.42,957.59,1349.53,1606.76,523.6,748.51,2923.68,1237.8,276.88,1247.52,,541.9,3932.62,,380.06,,,,
49,857.77,1023.89,1217.3,1301.07,321.96,634.78,2792.76,1366.99,169.76,252.65,,433.92,3359.53,,292.47,,,,
50,653.67,483.89,752.31,292.24,468.49,427.95,1167.53,1559.88,187.51,509.57,,337.2,2338.3,,502.26,,,,
51,480.15,332.25,659.33,859.93,396.34,1014.71,757.74,1713.19,93.62,326.06,,179.86,1356.09,,407.85,,,,
52,993.92,391.43,496.87,594.94,231.6,268.67,597.99,3755.1,703.1,1616.21,,579.82,1188.79,,319.39,,,,
53,571.1,241.17,1867.33,818.9,378.68,412.1,389.04,3411.53,459.9,1416.95,,484.26,1761.32,,799.2,,,,
54,374.4,618.38,1708.54,696.8,409.7,676.16,741.33,3263.91,276.58,784.37,,1997.66,1644.58,,682.63,,,,
55,1858.83,3863.8,1409.82,490.19,331.11,1800.93,623.3,1641.3,202.51,885.49,,2249.71,1446.93,,401.83,,,,
56,806.37,4186.1,865.25,402.16,305.98,1961.99,438.77,1505.91,650.06,978.64,,2583.28,226.61,,328.34,,,,
57,485.74,4327.82,381.4,421.76,376.22,4341.29,392.3,366.7,429.6,1001.91,,2868.39,607.82,,333.69,,,,
58,563.17,3534.07,165.87,658.52,259.46,4409.57,242.38,524.9,338.47,195.44,,3088.73,1234.0,,211.29,,,,
59,249.51,2772.14,531.95,494.8,159.36,3405.76,441.25,789.86,1706.39,946.39,,3340.64,340.18,,752.0,,,,
60,683.04,2531.45,370.17,773.44,769.13,2547.6,921.37,680.31,1600.69,720.24,,3622.23,266.31,,638.92,,,,
61,501.17,845.69,997.59,587.63,585.95,2253.99,828.05,505.23,1510.22,148.21,,2061.76,1346.48,,443.76,,,,
62,736.56,429.43,562.34,424.75,499.88,581.65,669.11,444.05,1367.73,73.19,,938.15,1450.46,,363.45,,,,
63,419.26,154.33,309.73,144.5,220.15,506.51,429.91,483.68,1211.27,663.6,,757.45,570.42,,160.92,,,,
64,354.55,3870.69,1319.05,1017.89,254.87,278.63,897.49,646.27,1736.13,778.12,,1145.95,148.16,,437.78,,,,
65,260.27,809.97,1137.86,903.98,539.73,629.13,999.66,548.07,2904.1,982.66,,771.96,286.21,,228.24,,,,
66,71.49,706.59,443.89,800.1,393.42,541.17,1053.89,382.53,4058.22,1072.74,,210.52,192.57,,493.39,,,,
67,638.92,528.34,222.14,524.89,250.82,476.0,980.91,695.43,2626.53,3425.77,,964.79,1054.89,,411.78,,,,
68,656.72,241.05,760.42,516.19,171.41,404.38,771.13,510.39,1100.3,3530.46,,730.16,973.92,,33.21,,,,
69,777.13,363.94,361.5,323.42,95.11,455.8,394.49,432.66,825.45,3624.29,,622.44,900.98,,1400.54,,,,
70,615.97,406.2,666.66,241.87,187.61,314.04,267.67,1050.76,718.6,3786.88,,520.81,255.8,,1511.24,,,,
