,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,807.21,215.3,974.4,568.26,551.83,694.67,542.37,750.24,981.46,644.83,418.97,,495.29,1483.2,658.54,455.11,549.94,1341.79,109.91
1,579.97,136.31,826.66,347.9,522.85,613.92,386.82,608.85,792.41,1729.67,916.12,,1026.26,1365.73,515.33,349.25,246.25,965.59,953.26
2,269.69,1187.99,187.43,1142.88,262.49,273.59,1031.17,550.88,369.75,1293.5,799.18,,918.75,1163.12,289.55,1099.28,1604.5,859.24,890.12
3,849.73,924.49,1618.3,1049.95,694.9,799.18,834.44,191.85,181.7,997.27,694.09,,749.64,667.6,914.77,985.24,1522.24,420.8,437.01
4,744.91,341.29,1494.35,803.11,610.61,716.66,670.84,1123.99,2255.94,602.34,597.83,,573.47,269.41,810.97,882.17,599.78,298.79,622.61
5,650.16,274.98,1298.49,624.0,536.73,646.96,463.17,1038.77,816.61,373.69,431.89,,343.34,1178.56,636.39,791.85,523.2,863.7,564.09
6,412.55,354.01,1215.56,603.02,634.89,358.07,536.57,961.26,607.65,57.91,657.89,,1364.13,923.61,430.48,709.75,278.38,641.77,37.86
7,844.15,146.09,899.32,309.06,441.52,492.29,353.1,826.54,389.67,1050.32,175.77,,1246.35,726.33,452.83,573.35,352.67,463.22,33.0
8,366.45,108.46,346.26,213.38,149.17,368.68,81.41,341.74,488.2,901.74,305.91,,1058.02,463.24,301.78,547.3,392.18,396.03,1019.01
9,114.99,144.8,380.04,1271.39,309.99,562.32,383.19,657.89,202.9,378.23,436.24,,977.2,271.9,556.64,711.46,1180.07,220.44,967.0
10,336.74,1262.57,177.16,1104.42,273.42,392.69,1096.9,630.71,901.29,1005.6,212.13,,269.61,420.97,172.59,417.05,1114.78,650.33,920.52
11,966.22,1102.75,1531.55,849.95,1035.75,322.37,1014.99,417.38,664.66,691.55,1215.02,,729.81,673.4,261.6,1353.76,1059.66,543.49,1248.81
12,769.73,977.99,1729.27,632.53,955.32,188.35,935.54,547.41,317.27,294.37,1044.11,,357.7,580.64,414.82,1252.9,1640.84,277.0,1115.5
13,1709.85,554.49,1418.99,2317.95,868.81,1044.93,865.16,259.79,1060.48,1335.36,966.22,,287.85,419.53,1056.38,1092.74,1506.38,112.03,472.57
14,515.85,358.2,1256.89,2252.48,1189.16,964.82,922.65,409.78,972.49,1221.98,43.26,,227.21,51.36,969.35,640.11,1394.88,114.31,1866.29
15,772.22,1637.27,1130.8,1809.56,589.15,904.76,769.14,1000.59,894.46,957.02,411.87,,582.93,458.7,892.15,1062.76,663.69,437.97,1816.16
16,709.5,1590.69,871.45,1127.99,1344.03,515.16,1766.22,927.25,185.27,638.99,427.19,,483.68,1147.58,692.0,165.05,547.43,158.34,1048.11
17,503.18,1557.38,635.73,1027.94,2248.14,1459.42,1669.91,873.15,1648.31,1266.2,511.6,,377.22,879.92,632.05,840.54,1563.02,1025.65,877.05
18,2209.77,1551.78,1584.57,766.15,1665.47,52.27,1567.76,736.97,2011.06,1082.12,1550.2,,279.48,868.94,1108.71,1556.24,1554.57,895.79,305.3
19,2376.11,1568.38,1570.04,636.87,511.83,1561.9,1476.14,1550.35,2271.72,526.4,1554.02,,516.17,1906.58,996.48,1550.53,1549.12,1567.76,240.81
