,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,807.21,215.3,974.4,,,,,,,,,,,,,,,,
1,579.97,136.31,826.66,,,,,,,,,,,,,,,,
2,269.69,1187.99,187.43,,,,,,,,,,,,,,,,
3,849.73,924.49,1618.3,,,,,,,,,,,,,,,,
4,744.91,341.29,1494.35,,,,,,,,,,,,,,,,
5,650.16,274.98,1298.49,,,,,,,,,,,,,,,,
6,412.55,354.01,1215.56,,,,,,,,,,,,,,,,
7,844.15,146.09,899.32,,,,,,,,,,,,,,,,
8,366.45,108.46,346.26,,,,,,,,,,,,,,,,
9,114.99,144.8,380.04,,,,,,,,,,,,,,,,
10,336.74,1262.57,177.16,,,,,,,,,,,,,,,,
11,966.22,1102.75,1531.55,,,,,,,,,,,,,,,,
12,769.73,977.99,1729.27,,,,,,,,,,,,,,,,
13,1709.85,554.49,1418.99,,,,,,,,,,,,,,,,
14,515.85,358.2,1256.89,,,,,,,,,,,,,,,,
15,772.22,1637.27,1130.8,,,,,,,,,,,,,,,,
16,709.5,1590.69,871.45,,,,,,,,,,,,,,,,
17,503.18,1557.38,635.73,,,,,,,,,,,,,,,,
18,2209.77,1551.78,1584.57,,,,,,,,,,,,,,,,
19,2376.11,1568.38,1570.04,,,,,,,,,,,,,,,,
20,2473.59,1772.91,1554.84,,,,,,,,,,,,,,,,
21,590.67,501.84,424.74,,,,,,,,,,,,,,,,
22,500.41,199.77,236.2,,,,,,,,,,,,,,,,
23,462.53,146.84,186.68,,,,,,,,,,,,,,,,
24,367.96,95.44,130.81,,,,,,,,,,,,,,,,
25,287.85,338.36,481.56,,,,,,,,,,,,,,,,
26,210.78,246.14,197.01,,,,,,,,,,,,,,,,
27,459.75,90.81,121.82,,,,,,,,,,,,,,,,
28,355.67,182.32,16.8,,,,,,,,,,,,,,,,
29,510.18,340.77,534.71,,,,,,,,,,,,,,,,
30,415.62,265.11,346.26,,,,,,,,,,,,,,,,
31,334.7,468.97,277.72,,,,,,,,,,,,,,,,
32,143.97,374.64,252.26,,,,,,,,,,,,,,,,
33,460.5,209.35,108.65,,,,,,,,,,,,,,,,
34,379.57,829.41,694.8,,,,,,,,,,,,,,,,
35,196.6,633.44,589.59,,,,,,,,,,,,,,,,
36,801.43,460.6,432.63,,,,,,,,,,,,,,,,
37,700.66,330.64,145.0,,,,,,,,,,,,,,,,
38,454.85,233.78,630.35,,,,,,,,,,,,,,,,
39,338.35,132.91,419.67,,,,,,,,,,,,,,,,
40,541.06,574.83,328.6,,,,,,,,,,,,,,,,
41,440.94,280.13,236.86,,,,,,,,,,,,,,,,
42,350.46,191.8,809.89,,,,,,,,,,,,,,,,
43,2081.1,110.34,601.21,,,,,,,,,,,,,,,,
44,1811.28,973.42,495.88,,,,,,,,,,,,,,,,
45,1385.17,741.53,423.55,,,,,,,,,,,,,,,,
46,810.87,548.99,299.98,,,,,,,,,,,,,,,,
47,597.4,378.27,855.42,,,,,,,,,,,,,,,,
48,400.82,250.91,746.03,,,,,,,,,,,,,,,,
49,168.73,147.53,560.11,,,,,,,,,,,,,,,,
50,614.37,629.61,391.97,,,,,,,,,,,,,,,,
51,451.34,539.63,510.69,,,,,,,,,,,,,,,,
52,1168.55,379.72,356.97,,,,,,,,,,,,,,,,
53,690.57,51.3,250.33,,,,,,,,,,,,,,,,
54,490.92,219.53,348.72,,,,,,,,,,,,,,,,
55,197.42,428.53,413.85,,,,,,,,,,,,,,,,
56,300.68,169.44,211.84,,,,,,,,,,,,,,,,
57,430.17,235.78,1209.81,,,,,,,,,,,,,,,,
58,270.47,105.44,1000.59,,,,,,,,,,,,,,,,
59,765.07,45.14,825.18,,,,,,,,,,,,,,,,
60,681.18,901.02,721.83,,,,,,,,,,,,,,,,
61,814.65,812.55,546.52,,,,,,,,,,,,,,,,
62,707.07,571.4,2178.58,,,,,,,,,,,,,,,,
63,61.3,537.75,2092.83,,,,,,,,,,,,,,,,
64,1930.76,358.92,1971.02,,,,,,,,,,,,,,,,
65,1554.03,579.07,793.7,,,,,,,,,,,,,,,,
66,1313.8,414.63,698.34,,,,,,,,,,,,,,,,
67,816.96,261.35,607.84,,,,,,,,,,,,,,,,
68,2077.79,2815.47,2723.99,,,,,,,,,,,,,,,,
69,2465.29,2832.18,2742.51,,,,,,,,,,,,,,,,
70,2621.23,2914.65,2795.51,,,,,,,,,,,,,,,,
71,2775.33,2840.13,2870.19,,,,,,,,,,,,,,,,
72,1457.05,2691.73,498.1,,,,,,,,,,,,,,,,
73,55.67,2648.47,291.77,,,,,,,,,,,,,,,,
74,24.25,286.47,1017.33,,,,,,,,,,,,,,,,
75,829.12,23.29,794.4,,,,,,,,,,,,,,,,
76,725.5,1075.04,690.48,,,,,,,,,,,,,,,,
77,409.73,890.5,383.8,,,,,,,,,,,,,,,,
78,240.45,595.64,408.05,,,,,,,,,,,,,,,,
79,214.68,254.41,345.03,,,,,,,,,,,,,,,,
80,180.82,59.21,1678.52,,,,,,,,,,,,,,,,
81,142.16,224.57,1709.51,,,,,,,,,,,,,,,,
82,441.57,341.21,1516.52,,,,,,,,,,,,,,,,
83,114.98,243.39,1214.15,,,,,,,,,,,,,,,,
84,913.7,29.14,551.34,,,,,,,,,,,,,,,,
85,832.24,867.35,1910.8,,,,,,,,,,,,,,,,
86,767.06,728.9,1853.56,,,,,,,,,,,,,,,,
87,1544.33,385.63,550.88,,,,,,,,,,,,,,,,
88,921.38,565.08,457.89,,,,,,,,,,,,,,,,
89,814.65,1781.39,300.84,,,,,,,,,,,,,,,,
90,589.6,1751.61,179.48,,,,,,,,,,,,,,,,
91,1879.22,1686.36,398.89,,,,,,,,,,,,,,,,
92,1814.04,1644.21,314.06,,,,,,,,,,,,,,,,
93,1572.15,1636.55,178.31,,,,,,,,,,,,,,,,
94,512.93,395.38,640.22,,,,,,,,,,,,,,,,
95,336.5,311.33,435.68,,,,,,,,,,,,,,,,
96,618.69,180.89,302.8,,,,,,,,,,,,,,,,
97,351.02,124.51,1249.46,,,,,,,,,,,,,,,,
98,277.49,23.24,1143.5,,,,,,,,,,,,,,,,
99,215.14,454.13,965.29,,,,,,,,,,,,,,,,
100,392.1,256.55,726.23,,,,,,,,,,,,,,,,
101,295.31,175.41,880.96,,,,,,,,,,,,,,,,
102,607.28,81.46,702.41,,,,,,,,,,,,,,,,
103,401.47,508.81,435.48,,,,,,,,,,,,,,,,
104,128.91,416.95,818.18,,,,,,,,,,,,,,,,
105,448.88,145.01,721.14,,,,,,,,,,,,,,,,
106,291.97,442.94,614.08,,,,,,,,,,,,,,,,
107,139.94,261.48,349.44,,,,,,,,,,,,,,,,
108,737.59,187.84,2615.48,,,,,,,,,,,,,,,,
109,639.27,852.17,2635.27,,,,,,,,,,,,,,,,
110,502.96,644.28,2675.87,,,,,,,,,,,,,,,,
111,400.28,539.37,2695.5,,,,,,,,,,,,,,,,
112,450.14,449.75,2790.16,,,,,,,,,,,,,,,,
113,351.44,415.63,2788.41,,,,,,,,,,,,,,,,
114,1330.28,318.62,580.92,,,,,,,,,,,,,,,,
115,1233.58,238.85,469.03,,,,,,,,,,,,,,,,
116,1001.05,152.63,188.18,,,,,,,,,,,,,,,,
117,602.82,225.81,887.89,,,,,,,,,,,,,,,,
118,336.84,167.32,773.65,,,,,,,,,,,,,,,,
119,1394.5,553.51,577.81,,,,,,,,,,,,,,,,
120,1142.46,370.36,273.65,,,,,,,,,,,,,,,,
121,727.99,275.37,517.19,,,,,,,,,,,,,,,,
122,279.65,205.81,198.67,,,,,,,,,,,,,,,,
123,372.49,355.31,443.58,,,,,,,,,,,,,,,,
124,774.5,228.5,316.47,,,,,,,,,,,,,,,,
125,441.97,321.34,1199.91,,,,,,,,,,,,,,,,
126,159.24,246.22,1110.28,,,,,,,,,,,,,,,,
127,358.97,115.84,938.61,,,,,,,,,,,,,,,,
128,267.9,656.92,633.44,,,,,,,,,,,,,,,,
129,1328.65,572.77,528.52,,,,,,,,,,,,,,,,
130,1205.97,372.56,700.5,,,,,,,,,,,,,,,,
131,1012.58,280.03,498.42,,,,,,,,,,,,,,,,
132,760.36,208.46,165.19,,,,,,,,,,,,,,,,
133,922.02,122.92,331.97,,,,,,,,,,,,,,,,
134,540.4,2831.28,260.84,,,,,,,,,,,,,,,,
135,1116.92,2861.99,210.01,,,,,,,,,,,,,,,,
136,990.82,2808.31,347.48,,,,,,,,,,,,,,,,
137,579.07,2745.25,173.19,,,,,,,,,,,,,,,,
138,172.08,2676.42,98.4,,,,,,,,,,,,,,,,
139,2598.46,266.64,24.33,,,,,,,,,,,,,,,,
140,2650.53,176.65,310.6,,,,,,,,,,,,,,,,
141,2740.66,31.75,241.6,,,,,,,,,,,,,,,,
142,2920.77,888.76,224.11,,,,,,,,,,,,,,,,
143,2997.15,705.89,155.0,,,,,,,,,,,,,,,,
144,2776.05,550.6,693.59,,,,,,,,,,,,,,,,
145,502.78,91.48,602.29,,,,,,,,,,,,,,,,
146,280.86,188.35,515.65,,,,,,,,,,,,,,,,
147,2002.53,151.2,298.21,,,,,,,,,,,,,,,,
148,1251.81,13.4,99.73,,,,,,,,,,,,,,,,
149,846.64,425.7,380.42,,,,,,,,,,,,,,,,
150,789.69,230.4,287.05,,,,,,,,,,,,,,,,
151,412.05,9.06,197.72,,,,,,,,,,,,,,,,
152,752.34,849.32,2843.37,,,,,,,,,,,,,,,,
