,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,496.2,570.9,581.66,317.58,759.13,992.76,979.54,752.29,886.04,,394.03,929.22,,,822.94,826.38,916.14,750.21,1267.34
1,263.76,401.28,515.79,801.43,624.67,739.77,762.37,626.06,743.68,,788.74,480.75,,,745.33,758.83,843.69,628.27,1271.75
2,949.87,1184.06,592.09,633.35,819.75,381.67,801.43,846.94,458.7,,713.15,1259.54,,,545.34,1065.57,716.02,527.23,1057.89
3,756.79,916.97,511.03,399.25,137.37,753.72,724.52,766.36,1270.66,,644.25,908.01,,,407.95,978.29,1212.72,366.36,654.75
4,326.99,518.74,434.93,887.31,40.07,679.43,157.06,362.29,1167.13,,271.16,448.89,,,546.24,844.82,1025.95,928.29,321.53
5,238.12,316.71,216.67,1180.94,55.81,610.66,264.04,576.6,899.07,,176.6,988.15,,,547.58,521.29,815.53,862.42,1468.66
6,72.96,365.45,253.28,416.33,512.02,111.36,698.05,463.73,310.84,,103.4,556.4,,,1505.33,693.97,310.9,500.57,1102.32
7,77.55,616.08,146.67,350.24,364.18,189.07,594.16,1145.91,59.03,,504.65,434.74,,,1264.15,239.03,214.04,411.64,19.79
8,313.09,758.61,48.27,290.91,599.95,22.98,454.52,158.49,39.05,,732.14,906.78,,,359.05,150.75,400.26,305.99,252.16
9,155.16,563.81,812.71,499.8,503.08,399.41,359.17,459.77,132.65,,556.33,821.78,,,625.16,73.9,685.66,220.75,
10,64.95,337.92,425.99,224.18,418.03,569.96,354.75,394.49,608.5,,486.91,606.0,,,175.87,127.55,486.76,133.29,
11,538.85,608.3,83.11,149.56,624.37,904.05,700.59,375.2,785.52,,321.94,608.87,,,879.67,749.2,69.62,904.52,
12,378.01,627.18,108.76,55.64,403.35,743.97,867.94,572.5,700.16,,569.35,527.04,,,580.19,600.89,876.4,784.06,
13,299.05,323.49,847.33,577.14,329.42,561.04,773.88,509.11,657.78,,134.33,465.32,,,411.26,881.24,783.75,496.93,
14,18.43,251.34,707.79,605.59,485.02,407.67,684.5,437.04,758.85,,573.09,399.56,,,195.82,584.92,1021.34,430.82,
15,550.04,171.12,391.16,474.55,388.51,345.26,302.59,371.75,1061.4,,479.43,357.92,,,640.93,503.08,956.81,375.93,
16,285.66,485.84,381.59,592.47,237.71,275.04,632.55,612.57,471.1,,397.09,826.69,,,602.01,403.35,887.51,208.44,
17,212.58,395.66,303.9,497.6,610.04,205.99,544.5,481.9,447.74,,664.26,814.49,,,486.47,331.36,762.03,849.78,
18,144.65,109.71,234.31,414.8,463.27,534.71,456.58,402.28,367.36,,466.58,499.75,,,360.29,449.92,594.84,917.83,
19,54.11,212.48,115.58,325.45,390.63,440.57,305.0,329.39,294.26,,285.89,418.96,,,272.17,355.94,644.37,826.8,
20,647.25,10.82,562.22,678.38,295.9,194.98,562.28,591.21,224.86,,164.13,772.61,,,532.72,285.0,423.22,771.07,
21,543.22,212.56,427.02,461.08,330.43,604.01,467.38,492.27,496.22,,520.33,547.09,,,436.13,433.24,349.26,722.51,
22,355.62,134.55,499.75,75.78,304.82,245.81,57.75,251.06,401.44,,287.25,463.41,,,116.03,319.12,278.9,649.48,
23,128.07,270.05,416.88,449.61,214.42,147.87,391.25,114.17,137.0,,217.84,327.96,,,359.97,285.9,766.36,320.1,
24,358.62,266.2,342.28,213.3,130.08,432.52,346.44,558.61,569.98,,423.97,290.29,,,238.24,199.71,561.28,498.58,
25,230.77,163.37,559.46,432.13,650.86,182.09,258.96,440.96,330.6,,286.75,208.27,,,154.94,199.42,297.32,415.88,
26,149.86,77.07,465.6,237.47,482.81,98.8,42.71,335.73,386.78,,196.78,387.86,,,236.5,428.01,25.24,341.28,
27,199.66,248.06,212.74,328.11,798.49,596.04,338.82,247.12,293.71,,114.41,365.95,,,155.64,324.17,542.89,591.21,
28,111.12,535.65,468.8,493.77,978.18,513.88,247.0,309.95,265.12,,597.82,268.39,,,74.09,146.19,331.08,494.4,
29,566.11,373.63,236.32,275.43,750.59,725.39,163.37,442.11,278.02,,513.88,178.67,,,464.46,66.03,330.36,327.07,
30,394.11,709.71,298.1,181.83,656.02,999.69,584.68,346.8,191.14,,707.77,580.97,,,757.27,406.71,244.73,95.43,
31,375.22,1044.54,206.12,523.55,495.09,678.0,501.73,638.76,607.56,,609.54,495.7,,,1261.41,669.7,83.37,590.28,
32,964.59,869.05,366.02,429.53,779.06,592.75,746.65,495.07,522.59,,533.19,809.77,,,739.4,1262.11,386.97,447.38,
33,798.19,631.08,321.12,743.95,670.31,515.79,1096.36,797.79,840.42,,455.46,1284.89,,,648.11,1283.09,292.51,345.49,
34,589.04,376.54,222.61,603.61,1777.24,853.46,984.1,1188.02,1999.39,,728.63,1044.54,,,564.81,1238.71,206.55,251.24,
35,473.04,536.47,134.19,456.58,1885.56,475.69,880.67,932.39,1604.16,,596.98,818.89,,,56.44,1133.96,560.0,168.43,
36,630.35,368.15,468.79,386.76,2330.08,67.21,702.74,727.69,1260.94,,384.72,625.76,,,243.13,813.58,480.32,40.39,
37,29.07,255.1,382.5,265.48,493.82,422.28,503.25,564.57,1031.22,,477.29,530.8,,,643.25,515.72,849.56,285.45,
38,147.21,288.98,630.6,1458.04,516.0,1209.79,955.8,295.17,656.02,,370.22,942.99,,,522.21,751.0,1252.33,195.26,
39,246.66,409.85,1766.85,542.97,421.16,206.54,720.41,1045.6,395.66,,516.01,840.44,,,945.84,77.41,1040.44,563.42,
40,259.19,259.93,1874.33,1147.11,261.37,402.98,619.63,947.51,240.3,,430.73,578.54,,,817.44,565.04,931.92,475.02,
41,184.11,132.87,1117.21,2.75,306.36,945.54,317.28,469.16,303.76,,354.8,503.86,,,563.81,615.01,848.12,715.72,
42,12.27,676.32,1009.73,343.52,850.58,748.33,906.02,373.06,707.55,,295.73,98.94,,,452.52,523.98,707.55,912.09,
43,267.82,485.53,814.49,884.29,784.95,176.58,462.92,607.83,293.79,,638.49,715.63,,,286.75,437.04,591.51,722.5,
44,11.7,339.24,430.69,945.76,671.32,281.37,611.08,398.01,508.87,,484.03,966.04,,,646.23,606.23,229.19,642.11,
45,162.82,82.37,950.85,499.27,568.8,587.79,445.7,328.15,279.69,,398.09,711.07,,,585.25,1081.57,829.71,384.76,
46,278.01,447.89,833.81,432.88,315.34,879.55,221.01,261.65,835.86,,306.86,563.81,,,884.47,874.86,748.5,923.8,
47,426.01,1325.06,562.19,520.32,573.6,242.79,1165.64,368.52,552.18,,714.1,369.97,,,1313.61,799.51,609.63,850.35,
48,1588.58,1601.19,630.96,427.5,575.31,170.47,1067.66,453.89,524.81,,617.52,295.51,,,1476.7,718.61,499.77,721.41,
49,1572.1,1478.64,546.66,268.45,831.06,444.48,796.87,376.22,4.31,,345.2,623.18,,,1597.03,410.64,306.43,665.27,
50,1531.47,1551.41,459.77,749.42,1563.2,352.78,659.83,578.55,1188.33,,169.13,518.09,,,1648.45,795.02,222.07,1799.24,
51,1630.91,431.79,370.22,633.37,1546.23,258.24,1101.36,119.61,1653.66,,602.39,883.48,,,1575.29,642.28,145.74,1693.37,
