,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,303.86,409.9,669.5,695.79,,685.35,521.55,809.11,832.19,,,835.61,556.0,789.68,340.95,767.76,,825.41,379.96
1,627.22,329.63,567.67,605.28,,474.53,290.33,670.15,627.73,,,661.28,766.98,795.69,76.87,649.25,,782.67,174.42
2,736.49,190.98,460.35,436.35,,19.82,170.39,498.2,379.96,,,200.4,651.15,443.61,268.39,488.11,,550.29,691.3
3,512.02,571.5,169.95,160.56,,554.39,672.91,33.78,10.48,,,478.85,427.22,134.24,386.12,464.29,,87.98,788.77
4,137.5,689.71,68.28,771.3,,684.08,623.8,479.72,665.84,,,280.39,451.45,464.31,793.7,286.47,,362.78,578.75
5,483.9,218.57,193.6,731.64,,698.61,214.11,195.11,170.79,,,756.57,74.9,402.09,500.02,792.29,,675.03,284.71
6,390.89,455.45,461.62,636.71,,546.02,488.12,779.91,351.37,,,181.37,404.22,746.5,304.44,189.35,,325.13,353.05
7,234.74,373.74,606.3,99.39,,459.51,331.04,422.91,708.71,,,734.78,443.82,329.73,156.09,694.66,,348.87,219.43
8,105.44,232.5,178.78,344.12,,179.65,109.85,305.87,472.16,,,376.53,863.32,597.08,637.73,515.25,,233.86,150.19
9,372.19,170.21,499.24,167.33,,601.61,484.62,750.63,175.14,,,135.83,582.4,440.17,592.24,273.07,,106.1,447.65
10,263.26,125.73,413.89,210.78,,566.57,288.94,674.76,337.34,,,125.5,368.97,189.2,229.49,708.73,,295.51,118.48
11,176.69,359.38,144.02,556.81,,357.44,76.94,618.57,720.02,,,753.04,727.23,15.74,90.73,590.33,,561.03,61.57
12,39.33,273.08,105.15,408.79,,172.12,12.42,558.44,649.26,,,679.67,603.83,604.54,319.67,564.23,,481.69,30.38
13,138.62,132.2,557.89,235.81,,32.22,117.95,388.18,566.23,,,558.28,533.77,570.15,71.71,364.21,,400.06,158.82
14,384.55,151.34,376.07,243.52,,303.58,361.5,311.89,397.88,,,241.8,362.27,502.62,378.52,124.69,,324.58,298.39
15,179.46,253.38,270.23,457.84,,130.07,267.38,617.99,234.87,,,65.95,170.79,212.85,292.39,491.39,,193.51,191.42
16,289.09,164.5,178.92,273.38,,204.42,97.44,411.67,310.96,,,315.97,232.82,74.73,438.87,438.73,,197.27,266.64
17,218.03,247.18,38.59,279.94,,423.29,240.9,566.45,517.17,,,124.56,149.12,160.54,304.52,340.44,,380.55,206.96
18,437.63,346.89,207.6,213.19,,334.08,81.99,407.67,320.41,,,397.61,537.31,127.57,479.91,450.22,,293.39,481.79
19,339.1,261.06,119.49,605.28,,121.6,335.94,811.55,570.67,,,213.4,436.73,38.97,379.4,365.87,,309.44,216.52
20,739.92,107.54,319.41,293.09,,613.5,108.4,850.02,345.37,,,473.72,193.42,233.39,218.76,868.44,,243.72,141.82
21,610.5,684.95,12.83,207.11,,489.99,42.19,731.27,843.98,,,396.31,530.93,148.56,576.59,773.76,,765.53,476.87
22,502.94,460.23,315.06,743.43,,385.35,721.23,432.6,725.25,,,98.87,443.84,77.97,758.67,538.3,,654.0,370.99
23,138.76,245.59,168.7,628.62,,736.31,392.51,439.42,509.57,,,691.67,236.8,401.99,555.97,342.26,,453.09,166.4
24,357.23,180.38,368.99,518.1,,736.49,164.64,713.8,240.35,,,576.83,782.31,256.29,105.78,396.16,,280.88,188.05
25,203.37,137.96,275.89,41.35,,434.56,260.22,436.0,590.73,,,379.4,767.44,49.91,274.43,531.2,,612.09,286.81
26,136.66,381.16,110.64,500.02,,344.12,194.08,601.98,724.98,,,214.29,456.25,753.47,152.59,777.38,,732.2,147.82
27,72.76,52.86,700.5,314.12,,248.31,135.54,500.65,548.68,,,800.22,217.43,636.91,72.94,267.85,,462.63,167.52
28,484.84,8.43,769.14,239.28,,101.71,166.18,334.65,165.09,,,594.3,332.68,433.54,495.79,560.67,,218.05,118.39
29,368.07,95.4,536.69,226.72,,546.69,118.39,259.67,606.88,,,49.74,473.64,266.44,398.12,395.09,,471.39,359.38
30,268.02,203.42,114.71,112.06,,424.81,378.0,679.67,495.02,,,425.53,757.83,619.16,311.82,156.4,,321.6,269.28
31,40.74,111.62,391.69,562.28,,219.17,122.94,571.38,258.35,,,342.16,287.51,747.49,234.87,552.57,,157.73,189.43
32,134.78,249.89,307.2,556.69,,136.67,62.97,557.22,285.35,,,270.32,663.72,518.65,105.76,436.95,,557.06,60.95
33,258.38,187.15,93.64,331.32,,226.17,167.16,401.03,190.1,,,62.28,561.43,66.21,302.27,241.8,,472.69,70.2
34,159.5,448.05,402.97,237.7,,89.9,309.4,311.82,623.59,,,568.81,389.7,490.94,394.58,86.58,,362.27,294.39
35,249.89,350.05,305.79,87.97,,284.38,213.4,192.62,579.26,,,557.76,252.02,403.49,296.39,343.68,,197.59,116.61
36,185.76,263.29,143.35,63.02,,175.46,18.26,533.25,408.79,,,305.79,307.28,191.85,272.28,321.41,,130.91,211.79
37,325.55,184.71,171.07,345.46,,316.47,92.31,334.44,232.05,,,142.46,668.61,61.17,216.62,222.39,,333.06,114.86
38,238.11,689.06,342.44,163.5,,211.17,49.07,531.96,97.39,,,282.22,569.42,565.36,478.63,519.18,,453.8,258.31
