,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,392.12,831.4,477.9,358.67,216.51,2050.14,472.1,354.2,553.0,1001.26,2408.1,,973.33,538.41,920.06,272.82,396.12,269.9,415.81
1,292.7,477.22,284.79,88.93,525.85,558.32,742.33,688.76,668.88,591.64,2407.47,,903.72,709.52,779.97,445.44,636.72,518.38,620.89
2,670.26,435.07,598.82,738.86,376.18,388.29,571.56,528.32,499.38,352.13,620.42,,791.04,549.36,569.41,80.66,626.13,378.32,573.51
3,485.9,31.66,421.59,464.82,708.73,275.71,357.92,320.61,1034.52,671.97,723.25,,705.57,1028.34,369.12,909.26,1245.65,1247.02,424.25
4,316.34,842.38,199.16,393.05,620.89,460.42,936.94,1185.18,914.0,396.64,1042.44,,603.27,907.88,679.48,814.57,981.85,1311.71,556.32
5,903.97,666.98,576.34,284.66,487.14,320.61,618.0,945.63,704.98,1050.72,930.49,,513.13,799.21,601.89,451.37,757.01,1270.61,512.48
6,786.91,491.83,481.07,328.82,354.94,479.97,557.93,639.8,467.49,920.98,656.66,,248.8,556.51,432.88,354.07,593.5,442.25,75.43
7,594.19,234.41,395.53,609.73,563.79,914.84,318.76,522.92,574.43,698.9,519.47,,1273.6,426.45,182.0,398.44,446.71,612.46,20.37
8,433.63,163.22,274.94,539.55,692.27,786.91,350.8,258.87,636.76,462.15,329.24,,1052.08,823.74,1227.54,473.01,402.44,533.73,227.27
9,262.99,536.82,498.48,171.48,491.26,587.05,537.19,568.24,492.55,334.56,776.04,,951.77,631.86,1316.14,413.37,674.42,824.25,182.99
10,607.08,391.64,441.39,64.83,537.61,545.95,504.95,621.67,171.48,407.7,531.19,,382.9,944.74,1072.78,272.68,604.66,620.57,400.17
11,469.08,286.09,139.88,238.17,445.74,474.91,404.74,521.21,484.09,143.41,495.4,,684.43,709.84,840.73,74.63,396.86,376.63,399.59
12,410.02,34.78,91.13,510.07,267.03,408.91,154.58,783.87,388.51,562.42,351.14,,567.25,5.25,644.22,383.56,253.65,308.21,334.88
13,602.39,104.04,169.13,296.44,21.5,358.91,83.93,549.17,242.87,560.11,564.49,,617.26,481.1,421.31,283.61,139.1,259.75,594.91
14,505.63,366.7,433.25,188.72,270.68,560.93,389.56,229.72,615.87,424.84,450.73,,847.78,382.57,1075.55,130.2,305.31,428.24,534.05
15,310.82,182.99,245.85,348.13,198.75,515.63,209.61,434.28,482.59,51.47,288.3,,613.38,224.3,681.28,557.24,451.95,147.18,454.18
16,50.43,277.11,90.39,184.63,723.17,310.82,162.37,342.88,562.95,565.13,484.1,,503.45,631.05,649.59,438.32,579.46,420.97,388.11
17,434.25,263.64,343.84,562.95,499.71,200.88,77.52,206.49,389.98,342.88,293.46,,235.32,631.43,505.94,498.8,410.18,258.42,552.72
18,245.11,125.35,161.99,349.97,376.12,454.46,424.05,228.81,1102.54,201.55,233.08,,365.7,434.28,800.99,342.04,582.67,416.78,438.56
19,213.27,349.97,467.24,266.68,526.67,364.48,273.56,727.25,1041.25,493.18,38.78,,266.71,352.86,662.37,900.62,372.49,351.27,232.55
20,79.38,268.1,365.9,719.21,365.99,211.44,176.56,618.94,504.27,689.77,489.01,,223.31,767.82,282.54,792.94,288.89,299.79,24.85
21,65.67,385.66,278.42,410.3,237.98,326.07,72.05,383.12,1128.21,553.19,601.76,,96.06,666.21,46.72,699.68,607.13,504.95,279.63
22,857.24,328.38,78.78,337.68,747.03,365.12,544.93,681.22,388.32,419.22,447.35,,731.99,584.89,645.53,329.71,525.01,487.14,236.92
23,797.39,564.74,562.17,538.43,526.38,221.07,453.02,503.22,281.84,180.66,299.34,,330.84,429.04,414.4,726.94,367.57,16.1,817.29
24,217.19,444.3,476.32,284.2,451.37,96.56,372.49,290.99,376.63,680.36,373.9,,557.18,733.49,299.34,556.16,309.81,101.42,440.32
25,437.27,340.9,265.44,374.74,389.74,383.46,421.31,1010.3,286.49,490.55,286.11,,261.64,618.92,155.73,499.62,494.32,206.61,287.44
26,271.5,105.23,552.57,139.73,592.94,300.8,359.12,903.13,397.17,1003.78,430.43,,136.17,612.4,211.96,252.23,427.7,227.13,246.12
27,133.6,107.95,502.72,324.44,515.87,228.5,316.23,586.36,112.21,876.43,360.98,,656.56,563.71,1187.07,145.36,275.51,167.27,182.3
28,344.88,7.61,80.64,635.46,454.48,655.25,369.15,522.19,387.16,737.27,305.69,,441.84,5.43,1016.51,61.14,152.4,124.25,346.69
29,291.65,329.06,43.97,544.09,1492.85,398.86,631.46,362.83,284.69,478.37,516.87,,282.6,518.07,720.19,368.7,35.95,1400.54,294.54
30,243.66,247.09,178.01,390.51,1461.26,337.68,469.05,532.32,210.93,1007.72,488.17,,502.2,426.31,485.59,281.62,424.35,1276.54,251.14
31,194.8,174.23,257.88,298.34,742.94,522.69,418.62,618.72,527.79,595.27,351.26,,417.36,249.94,623.52,229.11,322.16,1158.66,491.22
32,479.0,253.72,191.85,157.88,638.96,432.24,202.3,513.63,439.63,608.52,229.05,,348.98,25.51,635.35,474.51,351.28,542.09,433.04
33,417.05,117.31,1096.63,447.83,83.83,84.03,89.03,436.31,368.94,767.82,17.45,,598.19,49.53,538.84,323.2,1870.6,563.23,110.69
34,351.14,332.74,660.45,347.82,649.83,36.76,18.16,205.12,502.72,657.97,334.05,,539.42,435.29,364.49,340.63,1311.18,477.89,213.78
35,129.04,254.31,435.29,261.14,395.5,350.86,399.45,1.45,442.38,497.08,236.32,,409.05,388.57,998.12,253.66,707.96,123.45,244.11
36,322.49,489.86,109.07,187.29,324.08,249.94,224.3,267.01,102.43,316.18,176.1,,271.27,305.73,879.48,182.3,153.78,717.64,158.66
37,265.72,409.16,653.99,844.03,248.95,634.12,198.75,580.18,18.02,155.31,260.07,,27.06,350.8,774.43,658.18,507.68,610.01,773.9
38,187.74,343.07,631.74,519.47,913.6,523.89,418.2,384.56,235.82,1404.54,661.36,,306.31,291.65,681.04,567.12,576.84,484.43,657.37
39,95.44,289.43,380.52,432.43,356.12,416.2,262.64,298.44,222.32,1901.15,610.88,,240.89,238.72,527.79,483.13,1311.71,414.23,479.59
40,733.31,465.15,140.75,361.85,211.22,459.02,453.82,45.04,141.85,2160.71,514.85,,162.57,675.14,1081.77,411.12,1118.24,355.91,600.5
41,491.63,404.75,1157.88,623.86,480.09,250.85,220.29,963.03,354.7,510.23,52.2,,325.25,531.39,989.1,559.77,821.45,492.38,453.82
