,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,612.15,1067.31,1657.06,842.77,959.24,920.88,760.66,584.23,778.44,853.42,,1080.64,1162.36,1032.99,645.55,816.2,1102.72,,913.15
1,134.88,863.82,1658.36,643.43,839.0,806.25,546.58,234.38,669.71,746.68,,663.44,910.03,734.74,801.0,713.61,884.03,,673.38
2,289.84,704.93,695.91,234.11,635.0,702.2,302.83,305.79,476.66,115.87,,376.65,524.21,247.02,692.67,538.44,724.15,,404.76
3,699.43,493.98,740.17,883.43,274.94,352.68,141.64,219.21,236.1,373.65,,41.21,192.37,792.64,306.79,162.51,938.54,,947.06
4,604.3,263.95,649.21,788.44,895.08,199.27,746.02,545.19,723.67,863.59,,639.99,1256.19,615.44,699.93,750.98,853.47,,799.13
5,523.09,176.64,493.33,542.04,786.1,959.54,567.28,470.45,631.56,760.04,,562.08,1012.47,462.8,592.97,668.78,548.11,,486.82
6,236.41,1093.56,1313.22,1910.57,603.67,736.15,358.13,673.66,549.33,576.79,,489.86,812.65,398.09,514.58,530.48,2064.82,,290.88
7,698.41,877.63,408.76,1337.97,551.83,647.18,823.57,600.69,520.23,769.41,,423.85,549.08,345.33,2632.59,1085.99,627.33,,1210.73
8,494.07,779.7,345.33,1222.94,475.89,491.02,612.57,452.58,426.72,659.35,,803.64,2130.69,1441.05,2547.93,465.55,559.77,,978.08
9,410.16,542.77,147.8,1118.7,409.99,1231.72,527.35,1896.47,2676.03,559.77,,604.39,1095.23,1371.16,2474.72,389.5,504.62,,693.81
10,334.95,1982.54,1465.68,937.53,710.78,792.3,453.24,3100.89,1791.73,1128.44,,307.15,852.71,981.26,851.04,326.53,1149.4,,362.04
11,1473.23,1115.6,1206.26,1232.61,619.87,702.21,392.9,3205.6,1694.53,863.4,,3422.79,748.22,464.07,697.61,1617.29,1071.71,,993.35
12,1240.32,977.58,992.39,1413.51,410.7,613.34,332.53,3307.25,1561.08,742.32,,2714.6,573.62,345.88,51.55,1550.19,994.87,,746.01
13,955.47,730.92,2028.17,1729.44,326.94,538.11,1445.84,972.64,1482.03,644.62,,2532.03,433.5,161.6,1847.42,1382.71,594.38,,645.26
14,737.41,625.78,2230.21,2281.27,227.44,2377.89,1355.74,799.49,515.01,487.47,,1449.37,1846.71,593.38,1932.71,661.96,535.0,,535.97
15,623.22,371.37,2406.17,3462.46,140.29,2790.99,1176.1,675.86,75.08,162.38,,1055.89,1625.38,483.54,2161.08,160.01,432.05,,181.73
16,521.19,183.0,2639.46,3393.99,662.99,2933.43,2471.91,415.69,395.95,405.51,,425.16,1448.17,18.79,2312.09,623.25,342.35,,1462.32
17,483.43,2390.91,2453.91,1403.7,539.28,2491.92,2268.57,329.04,312.31,302.66,,777.23,1309.35,198.35,1334.82,516.21,476.43,,1292.11
18,295.05,2629.4,1101.09,755.7,299.66,1497.11,2185.11,250.57,633.23,93.78,,573.23,1047.23,109.79,538.17,341.65,350.65,,1055.14
19,128.24,2745.74,1005.67,602.69,271.94,1355.9,1994.96,519.19,430.69,705.42,,328.28,823.59,700.34,374.91,505.33,99.07,,837.8
20,195.58,2950.38,839.93,540.59,181.42,1060.22,1676.9,394.18,230.18,580.28,,638.54,661.96,616.05,420.24,277.6,237.1,,448.02
21,90.7,1237.5,648.1,44.99,624.71,817.21,936.91,137.13,687.31,309.79,,528.65,814.52,604.51,87.93,167.48,549.08,,155.91
22,547.86,1129.2,418.63,412.27,530.04,299.48,632.91,292.84,604.94,1166.33,,291.81,557.27,491.96,476.62,84.57,380.91,,810.05
23,461.35,965.5,319.24,633.28,447.1,215.17,397.44,123.66,2345.98,943.66,,329.73,449.98,779.69,381.49,2053.35,434.14,,603.13
24,474.53,904.01,1528.96,510.72,407.35,929.03,304.74,442.93,2447.96,605.25,,592.36,2.59,589.52,283.36,1963.48,354.96,,436.56
25,367.46,787.46,575.47,318.57,328.76,691.12,217.94,365.04,2556.49,2532.32,,500.12,588.55,515.6,182.2,1886.97,282.72,,842.77
26,212.5,507.44,241.46,735.7,255.69,582.77,411.99,580.2,884.16,2103.88,,489.16,245.7,445.25,619.65,251.48,603.97,,717.25
27,137.57,413.53,258.01,632.35,509.06,385.85,165.95,363.56,806.12,513.12,,395.49,296.83,567.62,620.69,1586.8,508.25,,406.99
28,207.93,336.33,37.38,392.77,412.93,626.18,197.36,286.3,697.81,1087.43,,601.92,781.06,462.86,702.2,718.05,423.59,,284.88
29,141.3,466.97,746.02,127.25,254.06,516.14,668.4,207.38,596.34,949.76,,504.29,684.27,285.41,585.1,597.87,265.37,,70.64
30,81.39,523.37,644.23,284.88,654.41,402.44,572.5,254.42,1333.45,827.14,,402.82,364.04,354.88,14.57,512.41,474.42,,935.99
31,23.42,212.48,551.77,191.38,536.67,410.64,405.16,182.82,1234.55,617.05,,937.7,824.95,228.02,286.88,373.09,379.35,,828.74
32,513.75,196.28,1218.64,308.89,261.43,219.21,564.15,117.76,986.99,448.02,,680.48,590.48,181.51,875.98,1232.37,293.23,,652.17
33,412.77,115.69,605.92,915.74,782.72,851.02,453.9,700.43,776.16,504.41,,235.97,486.36,91.84,687.31,966.92,173.7,,528.79
34,317.15,609.37,498.99,818.28,665.23,746.46,362.73,476.62,531.17,393.05,,438.69,395.49,493.97,526.67,861.99,195.36,,445.73
35,232.57,525.48,327.04,565.78,254.01,653.47,286.3,385.11,395.48,293.64,,394.64,317.67,412.4,578.04,770.51,577.18,,362.73
36,119.72,308.87,1273.3,2211.47,712.17,570.99,211.22,556.98,419.39,10.76,,300.8,687.7,341.51,483.57,691.21,493.97,,839.21
37,177.99,1110.09,3385.58,788.44,529.06,168.78,869.78,321.12,326.94,546.27,,665.4,467.4,263.63,1101.85,212.98,353.26,,727.58
38,43.97,364.68,650.18,698.41,693.21,678.23,509.65,446.65,428.31,275.89,,564.28,382.2,269.29,764.16,162.38,461.39,,610.76
39,198.35,288.09,476.85,514.53,592.65,567.06,417.57,201.34,296.78,186.49,,480.37,167.47,198.79,689.12,539.72,373.66,,438.64
40,128.74,212.85,313.36,2980.2,504.62,386.92,335.22,129.84,378.65,580.23,,546.74,585.33,685.36,412.59,429.1,218.94,,945.84
41,626.33,1626.47,451.55,1119.1,707.95,478.24,856.07,860.06,192.37,470.18,,447.04,466.64,577.15,606.22,184.66,394.11,,853.76
42,440.75,1865.11,342.35,775.45,601.28,392.74,730.25,759.58,528.84,702.21,,352.48,371.46,441.09,375.02,391.36,318.26,,630.68
43,363.1,1135.71,255.99,587.48,426.86,316.93,513.75,436.5,433.26,466.23,,461.57,286.7,133.7,288.76,7.11,258.31,,533.15
44,347.79,776.16,551.35,56.51,467.44,312.34,187.42,1854.33,628.11,374.48,,376.75,345.56,687.31,568.26,210.23,390.22,,390.59
45,272.03,678.62,288.22,790.7,348.7,433.6,420.14,1214.06,342.89,400.09,,297.42,90.63,596.74,462.73,561.82,314.39,,342.68
46,97.86,508.25,148.59,546.95,267.52,341.65,206.13,665.49,492.22,324.07,,2379.61,402.64,419.97,126.76,389.93,16.35,,174.55
47,235.81,310.27,514.18,444.04,550.5,259.25,265.0,560.51,407.44,245.74,,2120.57,472.43,337.38,178.0,422.01,740.77,,787.95
48,167.21,83.75,345.53,616.52,425.32,717.75,18.41,378.42,822.19,834.82,,1776.62,389.92,1582.78,604.62,333.05,652.74,,692.49
49,104.27,485.04,512.41,498.97,297.52,602.94,676.11,794.73,688.01,700.43,,1336.9,232.21,1336.19,511.63,252.64,576.33,,524.07
50,335.32,394.53,403.51,227.19,302.8,376.65,509.66,1101.47,455.31,581.07,,849.29,605.92,1068.13,425.84,631.47,1794.58,,575.12
51,249.77,234.57,325.01,144.62,39.64,284.88,211.83,842.76,271.59,385.11,,674.65,389.5,881.21,398.7,521.19,2096.27,,480.09
52,199.09,256.3,623.22,283.33,488.22,316.41,1708.74,715.66,478.64,38.61,,258.46,311.72,755.69,229.5,341.04,339.6,,396.89
53,64.39,23.16,513.62,668.4,405.12,323.41,2328.96,600.51,213.23,292.66,,346.7,654.99,599.1,408.3,194.09,207.71,,1074.53
54,216.22,208.24,428.24,472.43,417.31,863.05,1973.75,504.29,408.64,100.31,,813.16,532.57,226.38,245.74,861.04,781.79,,827.85
55,131.72,496.46,337.9,727.09,333.05,762.28,428.77,271.52,239.1,1091.5,,721.46,360.86,1378.65,112.49,760.21,684.22,,712.88
56,441.74,402.09,498.95,497.58,254.77,591.11,932.61,449.2,1131.88,906.78,,1211.97,215.82,1452.5,347.63,671.62,598.51,,614.99
57,359.17,311.23,382.23,406.13,657.06,1655.29,815.79,179.98,841.49,952.07,,786.22,561.17,1733.75,1069.16,524.77,523.08,,373.55
58,109.47,234.7,189.1,713.56,544.61,1535.59,712.15,88.82,538.9,736.95,,568.55,455.31,1681.37,963.59,1794.0,401.31,,126.57
59,343.95,710.05,399.32,474.9,435.35,1434.18,602.56,435.5,2202.83,2305.94,,343.95,362.17,395.1,828.05,1768.1,1992.07,,935.86
60,266.7,327.62,113.92,388.15,275.44,720.55,446.63,298.93,1009.65,926.16,,1353.34,115.24,277.93,744.45,1615.16,894.75,,832.59
61,189.96,250.9,164.61,557.27,752.59,612.17,653.53,153.56,765.81,796.66,,1141.47,322.61,110.77,419.53,233.17,575.89,,620.16
62,337.9,184.33,84.77,453.12,629.81,517.0,396.69,3.55,664.7,585.44,,914.74,50.43,2194.33,428.36,2240.31,413.45,,289.41
